session_id,athlete_id,frame_num,sport,hip_angle_l,hip_angle_r,knee_angle_l,knee_angle_r,shoulder_angle_l,shoulder_angle_r,elbow_angle_l,elbow_angle_r,ankle_dorsiflexion_l,ankle_dorsiflexion_r,trunk_lean,spine_deviation,shoulder_hip_sep,head_forward_pos,com_height_norm,estimated_jump_height,limb_symmetry_idx,form_score,phase_label,quality_label,feedback_tag
SES_JAV_POO_0015,athlete_30,87,javelin,149.89,140.98,178,161.93,143.56,145.86,138.01,156.96,58.24,70.46,80,3.42,42.99,-3.14,0.57,0,0.555,28.6,setup,poor,LOWER HIPS!
SES_SNA_GOO_0005,athlete_63,37,snatch,93.28,104.98,111.21,115.77,45.53,47.19,172.93,178.42,92.19,82.69,36.35,3.08,20.14,1.9,0.49,0,0.855,81.4,setup,good,"Good depth, push harder through the heels."
SES_VER_ELI_0000,athlete_72,55,vertical_jump,97.76,82.91,102.12,84.72,69.61,57.35,132.0,119.09,95.73,79.67,24.38,1.34,26.63,3.06,0.53,46.0,0.863,96.7,descent,elite,Great form! Maintain position.
SES_SNA_ELI_0004,athlete_70,98,snatch,82.93,78.5,127.5,102.88,47.91,47.84,178.29,180,97.27,82.62,27.58,1.76,34.81,0.03,0.59,0,0.876,94.0,descent,elite,Hold this form.
SES_VER_AVE_0002,athlete_11,19,vertical_jump,103.52,118.63,127.35,116.75,108.6,77.69,166.88,152.37,87.09,76.49,17.79,0,14.22,0.36,0.5,41.6,0.737,65.6,flight,average,Activate core more.
SES_JAV_POO_0015,athlete_70,24,javelin,140.97,146.73,149.81,176.91,175.45,151.55,180,173.58,63.55,67.43,60.69,3.79,22.94,-0.09,0.54,0,0.542,33.6,descent,poor,Critical form deviation.
SES_SPR_GOO_0009,athlete_24,65,sprint,62.11,37.99,95.67,96.05,86.18,79.04,90.75,100.5,89.4,68.32,18.56,2.91,15.26,-1.04,0.47,0,0.732,82.8,setup,good,"Good depth, push harder through the heels."
SES_SNA_POO_0007,athlete_68,68,snatch,116.88,133.91,125.1,133.11,114.41,79.78,156.06,96.32,58.39,74.79,65.6,0.56,26.99,2.75,0.51,0,0.664,20,descent,poor,Adjust knee alignment.
SES_CRI_ELI_0016,athlete_70,87,cricket_bat,119.52,123.77,138.83,135.09,90.97,75.35,141.36,149.84,85.13,102.03,18.12,3.96,50.12,6.98,0.57,0,0.802,96.9,setup,elite,Hold this form.
SES_VER_ELI_0000,athlete_57,67,vertical_jump,100.58,94.79,95.0,91.8,59.4,59.3,101.7,107.1,101.51,80.04,3.3,0.51,27.71,3.07,0.55,54.1,0.933,91.7,landing,elite,Hold this form.
SES_JAV_POO_0015,athlete_26,88,javelin,175,121.75,144.33,155.66,120.28,130.47,180,178.23,86.89,67.56,80,2.64,8.46,0.32,0.43,0,0.5,33.1,setup,poor,Critical form deviation.
SES_SNA_AVE_0006,athlete_43,43,snatch,106.22,104.92,128.67,137.94,52.82,85.6,136.59,160.56,83.34,86.25,35.23,1.7,12.37,6.37,0.52,0,0.796,67.1,setup,average,Activate core more.
SES_CRI_GOO_0017,athlete_69,70,cricket_bat,137.69,115.9,141.39,151.04,88.65,101.81,158.37,133.14,97.71,89.77,35.29,1.87,18.47,1.66,0.49,0,0.713,78.6,descent,good,"Good depth, push harder through the heels."
SES_VER_POO_0003,athlete_25,11,vertical_jump,135.44,142.14,171.01,144.45,116.1,135.54,123.87,141.81,80.81,87.53,47.25,0,24.95,2.2,0.55,28.5,0.639,43.5,setup,poor,Critical form deviation.
SES_CRI_ELI_0016,athlete_35,86,cricket_bat,111.12,122.27,120.03,146.18,100.01,95.02,162.44,128.46,89.78,94.27,34.34,1.6,28.11,1.39,0.45,0,0.739,97.5,setup,elite,Hold this form.
SES_VER_AVE_0002,athlete_67,30,vertical_jump,95.1,119.72,100.49,119.42,61.72,96.79,136.11,146.53,90.37,69.04,43.1,1.43,29.47,6.23,0.48,28.6,0.691,61.0,descent,average,Lower your hips.
SES_CRI_POO_0019,athlete_67,18,cricket_bat,151.79,164.95,152.41,172.4,144.25,157.32,179.87,173.29,94.56,81.84,61.77,0,31.06,-0.34,0.48,0,0.561,36.0,setup,poor,Work on symmetry.
SES_SNA_ELI_0004,athlete_78,10,snatch,88.47,79.29,92.17,110.36,42.49,48.05,172.48,180,86.16,94.64,34.04,1.53,35.22,1.78,0.55,0,0.869,93.2,setup,elite,Great form! Maintain position.
SES_CRI_GOO_0017,athlete_04,80,cricket_bat,134.07,130.91,132.94,154.33,111.82,84.72,132.66,154.37,95.63,95.43,21.07,3.33,21.15,1.52,0.54,0,0.731,86.4,descent,good,Extend hips fully.
SES_VER_POO_0003,athlete_07,36,vertical_jump,154.7,118.57,139.53,112.6,57.88,67.94,147.76,170.72,61.69,92.04,50.2,1.18,38.58,1.83,0.54,32.8,0.572,37.8,flight,poor,Critical form deviation.
SES_SNA_GOO_0005,athlete_31,68,snatch,104.53,116.32,110.07,104.94,60.14,48.47,173.78,157.68,72.34,102.58,23.35,2.23,29.52,2.01,0.54,0,0.856,80.0,setup,good,"Good depth, push harder through the heels."
SES_JAV_ELI_0012,athlete_23,91,javelin,93.93,105.31,154.48,162.58,169.1,166.23,126.92,121.33,71.89,83.36,27.87,0.03,46.4,0.77,0.56,0,0.733,94.5,descent,elite,Elite biomechanics detected.
SES_CRI_AVE_0018,athlete_33,39,cricket_bat,138.09,136.67,154.8,166.13,107.73,110.0,180,169.45,81.16,91.38,32.71,2.83,36.17,-2.13,0.4,0,0.696,63.6,descent,average,Control trunk lean.
SES_SPR_POO_0011,athlete_27,58,sprint,80.96,76.62,154.09,96.36,136.97,117.15,110.93,138.3,69.58,80.89,45.38,3.75,41.39,1.57,0.34,0,0.592,33.7,setup,poor,Work on symmetry.
SES_CRI_POO_0019,athlete_72,85,cricket_bat,146.93,171.13,161.5,177.95,163.51,163.87,141.12,180,66.76,63.4,45.66,0.57,35.25,4.32,0.3,0,0.55,29.2,setup,poor,Work on symmetry.
SES_SNA_ELI_0004,athlete_23,2,snatch,106.8,96.27,95.14,102.89,40.72,31.23,180,171.56,81.15,92.73,27.84,2.18,43.21,-2.02,0.58,0,0.898,93.4,setup,elite,Hold this form.
SES_SPR_POO_0011,athlete_71,79,sprint,95.94,76.65,161.83,143.46,116.66,110.58,139.48,134.44,52.14,83.05,49.93,2.43,16.8,2.36,0.32,0,0.626,21.9,setup,poor,Work on symmetry.
SES_VER_AVE_0002,athlete_79,55,vertical_jump,105.96,100.37,117.14,116.48,52.06,98.34,137.69,122.47,74.26,76.28,3.4,3.23,24.43,-0.03,0.44,12.7,0.782,62.0,descent,average,Lower your hips.
SES_SNA_POO_0007,athlete_60,93,snatch,139.75,158.63,128.56,154.39,98.62,131.18,176.48,128.49,87.03,66.08,61.47,2.42,20.91,3.45,0.32,0,0.634,44.5,descent,poor,Critical form deviation.
SES_JAV_AVE_0014,athlete_80,59,javelin,107.74,119.47,178,163.54,136.23,146.43,163.93,173.15,106.54,71.29,34.07,3.45,26.09,3.91,0.45,0,0.626,64.4,setup,average,Lower your hips.
SES_SNA_GOO_0005,athlete_29,14,snatch,85.76,92.12,100.03,120.68,61.56,54.15,169.27,174.15,79.92,83.43,40.32,3.24,23.8,3.43,0.51,0,0.828,86.7,descent,good,"Good depth, push harder through the heels."
SES_SNA_AVE_0006,athlete_13,12,snatch,102.23,114.47,120.13,127.14,31.88,80.65,126.96,170.38,93.15,77.91,38.17,1.95,8.04,2.96,0.48,0,0.771,68.7,descent,average,Activate core more.
SES_JAV_POO_0015,athlete_70,67,javelin,113.64,116.69,178,178,154.52,131.56,130.87,171.88,88.28,61.34,68.12,0,12.04,7.07,0.41,0,0.592,28.3,descent,poor,Work on symmetry.
SES_VER_GOO_0001,athlete_02,63,vertical_jump,109.64,93.66,100.18,113.77,47.08,67.41,149.29,140.85,103.15,84.92,26.9,4.89,21.55,-0.71,0.43,43.1,0.8,85.6,setup,good,Extend hips fully.
SES_JAV_POO_0015,athlete_57,37,javelin,122.59,167.2,157.61,170.18,135.62,147.04,180,136.66,83.51,54.07,80,1.55,35.3,4.02,0.53,0,0.5,25.8,setup,poor,Adjust knee alignment.
SES_VER_GOO_0001,athlete_40,40,vertical_jump,99.51,94.05,86.92,120.74,67.93,55.0,133.25,121.24,102.29,84.81,19.6,1.86,14.01,0.9,0.5,43.1,0.78,82.2,descent,good,Extend hips fully.
SES_CRI_AVE_0018,athlete_30,49,cricket_bat,154.41,121.47,169.58,143.01,108.21,112.6,162.28,146.88,89.07,100.52,16.34,1.65,20.85,6.35,0.39,0,0.609,69.9,descent,average,Lower your hips.
SES_CRI_AVE_0018,athlete_44,6,cricket_bat,139.09,143.69,158.89,178,119.86,108.22,162.82,128.05,69.39,83.33,39.68,0.78,13.11,4.95,0.42,0,0.678,67.5,setup,average,Activate core more.
SES_SNA_ELI_0004,athlete_49,8,snatch,89.63,91.84,110.38,97.21,46.74,43.47,178.22,174.91,92.02,86.23,27.03,1.11,27.18,-1.0,0.54,0,0.907,93.9,descent,elite,Great form! Maintain position.
SES_SNA_POO_0007,athlete_72,57,snatch,119.6,111.33,129.72,126.45,85.71,69.8,125.95,154.43,100.79,72.92,72.2,3.05,30.75,0.9,0.38,0,0.692,40.5,descent,poor,Work on symmetry.
SES_SNA_GOO_0005,athlete_12,83,snatch,94.15,92.67,99.06,105.18,58.41,51.24,162.87,165.98,79.36,87.54,37.1,2.95,23.56,2.35,0.47,0,0.878,80.7,descent,good,Extend hips fully.
SES_CRI_POO_0019,athlete_16,86,cricket_bat,175,165.35,146.04,166.42,114.38,126.15,170.54,180,89.64,81.02,43.08,2.8,36.87,-1.28,0.45,0,0.567,36.5,descent,poor,Adjust knee alignment.
SES_CRI_GOO_0017,athlete_78,48,cricket_bat,138.39,125.81,146.74,145.47,91.08,90.25,131.12,124.89,94.01,70.73,19.67,0,28.75,1.07,0.44,0,0.75,82.3,setup,good,Slight asymmetry detected.
SES_SPR_ELI_0008,athlete_62,7,sprint,46.76,49.07,84.63,84.32,73.01,74.39,83.05,96.36,90.82,67.75,10.03,0,35.85,3.95,0.5,0,0.885,94.1,setup,elite,Great form! Maintain position.
SES_VER_POO_0003,athlete_74,90,vertical_jump,143.87,127.49,149.18,123.85,83.77,102.52,143.11,123.98,78.64,81.19,53.77,6.4,10.93,3.87,0.4,16.3,0.615,28.0,descent,poor,Work on symmetry.
SES_CRI_GOO_0017,athlete_58,36,cricket_bat,123.75,127.52,159.28,143.38,114.47,89.67,149.54,139.11,90.66,78.83,30.08,0.05,24.93,-0.81,0.42,0,0.741,77.3,setup,good,"Good depth, push harder through the heels."
SES_SNA_AVE_0006,athlete_02,98,snatch,89.3,100.91,77.39,138.41,94.04,75.37,167.33,173.67,73.44,85.36,29.88,1.6,27.57,3.28,0.48,0,0.653,63.8,setup,average,Activate core more.
SES_VER_GOO_0001,athlete_21,98,vertical_jump,64.84,92.12,87.99,107.41,73.38,50.68,124.3,147.3,80.27,89.25,9.97,1.9,13.21,1.94,0.56,33.6,0.737,84.1,takeoff,good,Slight asymmetry detected.
SES_SNA_AVE_0006,athlete_04,10,snatch,118.04,117.73,144.6,128.92,58.33,84.24,168.33,146.55,84.92,95.25,44.62,3.61,33.46,6.45,0.45,0,0.787,60.5,setup,average,Lower your hips.
SES_CRI_POO_0019,athlete_53,11,cricket_bat,175,158.95,146.02,168.02,180,132.37,171.09,157.49,88.69,109.35,44.51,1.17,21.73,-4.58,0.43,0,0.553,31.6,setup,poor,Work on symmetry.
SES_SNA_POO_0007,athlete_04,89,snatch,148.79,106.45,160.43,165.65,53.01,78.11,165.74,134.08,94.27,72.11,60.97,1.99,32.85,1.62,0.46,0,0.625,40.3,setup,poor,Adjust knee alignment.
SES_CRI_GOO_0017,athlete_71,14,cricket_bat,124.22,127.78,144.3,132.06,105.57,104.28,170.29,148.25,103.19,87.89,35.84,0.23,27.3,2.92,0.42,0,0.746,86.2,descent,good,Extend hips fully.
SES_SPR_POO_0011,athlete_08,57,sprint,81.88,91.66,129.85,129.04,116.3,106.55,143.41,149.88,64.33,69.55,42.4,1.55,21.31,-3.17,0.52,0,0.686,36.0,descent,poor,Work on symmetry.
SES_SNA_POO_0007,athlete_46,19,snatch,109.83,131.41,178,156.09,78.14,85.07,120.88,149.3,99.09,55.63,41.06,0.69,18.89,0.37,0.36,0,0.634,36.2,descent,poor,LOWER HIPS!
SES_SNA_POO_0007,athlete_51,73,snatch,126.52,120.36,123.57,130.8,72.95,102.14,165.73,144.28,65.69,62.3,55.53,3.0,39.64,0.94,0.48,0,0.689,46.8,descent,poor,LOWER HIPS!
SES_VER_ELI_0000,athlete_37,98,vertical_jump,94.38,87.08,86.19,94.41,65.61,47.99,98.08,133.44,96.33,90.53,11.83,0.03,42.06,2.77,0.67,68.0,0.911,100,landing,elite,Great form! Maintain position.
SES_JAV_AVE_0014,athlete_05,84,javelin,116.86,130.87,159.14,156.23,137.95,145.64,125.55,160.14,86.84,76.59,66.03,0.7,23.29,-0.52,0.44,0,0.642,68.8,setup,average,Lower your hips.
SES_JAV_AVE_0014,athlete_72,22,javelin,138.81,132.66,162.53,146.41,128.2,135.25,126.51,148.41,89.42,65.36,67.33,3.16,38.92,3.28,0.56,0,0.637,60.3,descent,average,Lower your hips.
SES_JAV_AVE_0014,athlete_36,78,javelin,159.19,136.31,146.3,156.24,139.87,163.58,123.31,131.94,64.19,80.09,48.4,0,26.38,-0.55,0.44,0,0.618,58.3,descent,average,Control trunk lean.
SES_SNA_GOO_0005,athlete_72,33,snatch,101.05,96.4,108.72,122.17,52.21,51.8,158.09,177.11,99.92,79.4,32.25,1.95,37.01,-2.99,0.55,0,0.853,80.2,descent,good,Extend hips fully.
SES_VER_ELI_0000,athlete_10,82,vertical_jump,84.88,101.29,110.44,98.27,61.03,53.78,124.76,135.16,105.0,95.62,11.09,1.75,42.7,-0.42,0.49,52.7,0.878,95.9,descent,elite,Elite biomechanics detected.
SES_SPR_ELI_0008,athlete_42,97,sprint,57.43,47.82,90.23,88.11,83.05,92.49,82.59,99.62,76.32,69.14,23.91,1.75,42.92,2.39,0.44,0,0.843,96.1,setup,elite,Elite biomechanics detected.
SES_VER_AVE_0002,athlete_53,6,vertical_jump,114.94,116.0,119.94,118.85,70.41,87.67,148.58,120.67,63.61,76.36,33.26,2.98,19.65,0.81,0.39,30.3,0.795,69.3,takeoff,average,Lower your hips.
SES_JAV_AVE_0014,athlete_11,25,javelin,124.61,109.26,176.58,164.13,109.95,155.41,151.7,128.85,89.55,80.98,65.45,1.9,20.35,-0.15,0.46,0,0.622,70.3,descent,average,Control trunk lean.
SES_SNA_AVE_0006,athlete_11,63,snatch,88.09,91.85,95.43,130.95,85.24,80.59,169.29,180,81.28,75.58,42.59,2.32,25.67,1.92,0.49,0,0.726,61.2,setup,average,Activate core more.
SES_JAV_GOO_0013,athlete_72,85,javelin,103.85,120.6,169.66,159.39,168.74,154.14,119.44,165.03,88.84,84.73,42.61,4.73,25.76,-2.23,0.47,0,0.68,80.7,descent,good,Slight asymmetry detected.
SES_SNA_GOO_0005,athlete_32,66,snatch,82.14,84.27,122.54,110.5,71.44,62.5,168.12,180,77.67,94.96,28.66,2.29,28.21,-1.09,0.44,0,0.863,80.3,descent,good,Slight asymmetry detected.
SES_CRI_AVE_0018,athlete_60,76,cricket_bat,143.2,144.67,141.87,142.43,108.98,77.13,141.12,165.84,123.2,77.46,24.88,0,21.36,3.13,0.56,0,0.716,62.1,descent,average,Activate core more.
SES_SPR_ELI_0008,athlete_24,92,sprint,36.3,30,103.6,84.61,80.61,54.89,72.03,103.98,79.11,84.54,23.89,2.2,35.74,-2.64,0.56,0,0.793,95.7,descent,elite,Great form! Maintain position.
SES_SNA_ELI_0004,athlete_35,97,snatch,74.59,87.79,100.73,96.37,34.58,42.35,170.92,176.33,92.4,84.54,21.85,3.66,38.18,-0.24,0.49,0,0.892,97.6,descent,elite,Great form! Maintain position.
SES_SPR_GOO_0009,athlete_26,37,sprint,47.82,54.59,114.09,96.81,68.08,92.35,87.77,104.29,77.88,77.62,15.66,0.62,16.53,4.28,0.39,0,0.767,77.6,setup,good,Slight asymmetry detected.
SES_JAV_ELI_0012,athlete_74,28,javelin,113.71,104.71,133.55,164.91,174.05,159.75,120.16,142.74,92.81,81.01,18.35,0,34.45,5.23,0.51,0,0.699,97.5,setup,elite,Elite biomechanics detected.
SES_VER_GOO_0001,athlete_39,39,vertical_jump,107.46,99.57,108.99,98.41,64.55,81.34,76.79,135.8,93.46,89.1,17.14,0.81,26.42,3.5,0.46,43.2,0.829,81.9,descent,good,Extend hips fully.
SES_VER_POO_0003,athlete_58,60,vertical_jump,146.8,131.04,138.01,147.46,81.06,87.8,180,157.62,67.94,67.23,33.97,3.53,20.92,4.49,0.53,6.9,0.649,44.8,setup,poor,Work on symmetry.
SES_SNA_POO_0007,athlete_06,78,snatch,167.24,165.61,156.26,169.87,70.93,74.59,146.24,161.01,77.73,78.99,48.23,2.51,24.93,2.82,0.45,0,0.693,23.2,setup,poor,Work on symmetry.
SES_CRI_AVE_0018,athlete_65,42,cricket_bat,138.32,141.73,155.62,153.59,106.42,120.95,144.09,180,93.37,79.12,31.17,0,22.32,0.26,0.54,0,0.709,68.8,descent,average,Control trunk lean.
SES_SPR_GOO_0009,athlete_14,49,sprint,63.45,47.93,99.74,111.39,81.83,65.07,98.55,90.02,84.99,90.12,37.11,5.57,20.84,0.47,0.52,0,0.745,83.4,descent,good,Extend hips fully.
SES_SNA_GOO_0005,athlete_04,3,snatch,98.66,102.48,101.95,131.01,54.6,32.19,180,177.55,78.82,86.23,24.74,0.33,22.02,-0.59,0.46,0,0.822,85.1,descent,good,Slight asymmetry detected.
SES_CRI_AVE_0018,athlete_22,18,cricket_bat,162.53,136.49,163.79,153.7,135.05,100.76,160.14,157.4,87.74,82.29,28.36,3.34,28.68,0.09,0.56,0,0.653,67.6,setup,average,Lower your hips.
SES_CRI_POO_0019,athlete_35,20,cricket_bat,138.26,173.2,174.04,168.8,132.37,115.01,174.99,160.35,69.67,54.61,41.65,0.96,31.33,-0.26,0.44,0,0.55,26.9,setup,poor,LOWER HIPS!
SES_CRI_POO_0019,athlete_13,95,cricket_bat,151.01,169.49,174.65,166.87,137.91,113.94,180,162.46,98.63,70.91,40.06,1.49,31.43,0.74,0.38,0,0.574,28.8,setup,poor,Work on symmetry.
SES_CRI_POO_0019,athlete_69,46,cricket_bat,160.05,151.2,166.95,151.29,132.38,180,180,173.6,60.58,88.14,48.8,0.52,42.81,1.53,0.42,0,0.575,40.4,descent,poor,Adjust knee alignment.
SES_CRI_POO_0019,athlete_37,22,cricket_bat,139.28,158.4,177.19,160.1,159.88,132.73,180,144.33,77.47,65.58,80,2.22,33.01,0.07,0.39,0,0.555,35.1,setup,poor,Critical form deviation.
SES_JAV_ELI_0012,athlete_61,99,javelin,110.98,104.34,164.24,151.98,180,177.13,115.65,141.96,84.2,84.19,33.68,1.3,39.04,10.47,0.56,0,0.74,100,setup,elite,Great form! Maintain position.
SES_CRI_POO_0019,athlete_50,57,cricket_bat,151.51,158.71,141.14,157.16,101.02,131.97,180,166.78,101.49,65.71,25.98,2.79,11.21,3.81,0.42,0,0.576,20,descent,poor,Critical form deviation.
SES_SNA_GOO_0005,athlete_11,29,snatch,105.4,97.49,108.26,115.29,52.49,58.08,168.49,159.13,81.02,82.94,30.64,0,32.26,0.92,0.42,0,0.859,79.5,setup,good,Slight asymmetry detected.
SES_CRI_AVE_0018,athlete_73,43,cricket_bat,141.56,149.44,155.19,160.9,119.02,109.59,146.41,177.35,94.98,79.74,30.96,0.66,17.83,3.57,0.53,0,0.694,60.7,descent,average,Lower your hips.
SES_VER_POO_0003,athlete_40,17,vertical_jump,151.95,121.8,164.73,111.63,95.23,106.93,134.97,140.8,57.3,80.48,53.39,1.62,25.52,-3.58,0.39,15.9,0.544,49.6,takeoff,poor,Critical form deviation.
SES_SNA_ELI_0004,athlete_50,13,snatch,89.96,82.81,94.14,91.06,38.26,43.05,176.06,175.47,93.43,87.25,24.4,4.44,33.14,0.9,0.45,0,0.916,96.6,setup,elite,Elite biomechanics detected.
SES_CRI_GOO_0017,athlete_64,30,cricket_bat,131.95,125.1,141.37,155.56,107.57,100.81,131.76,122.7,89.16,95.34,18.81,3.87,23.02,1.96,0.61,0,0.737,83.1,descent,good,"Good depth, push harder through the heels."
SES_SNA_ELI_0004,athlete_42,47,snatch,90.52,83.97,106.09,98.92,55.76,40.52,178.45,176.14,99.78,88.59,21.84,0.53,25.82,-2.99,0.48,0,0.908,92.6,descent,elite,Great form! Maintain position.
SES_JAV_GOO_0013,athlete_45,64,javelin,101.14,117.24,150.43,157.61,156.37,146.97,153.32,146.35,74.06,91.66,49.87,0.98,27.65,6.32,0.57,0,0.685,87.7,descent,good,Slight asymmetry detected.
SES_SNA_POO_0007,athlete_35,38,snatch,113.24,110.04,111.24,160.84,117.9,101.34,133.59,168.28,74.55,78.88,45.53,1.83,41.16,1.34,0.45,0,0.619,36.5,setup,poor,LOWER HIPS!
SES_JAV_ELI_0012,athlete_25,6,javelin,108.63,108.32,142.02,148.86,159.57,177.14,132.58,133.88,81.11,84.97,30.21,1.69,28.86,1.15,0.47,0,0.765,94.4,setup,elite,Hold this form.
SES_JAV_ELI_0012,athlete_48,11,javelin,92.06,107.34,152.2,150.98,166.04,157.93,127.9,149.46,87.06,94.26,35.84,4.39,33.91,1.72,0.54,0,0.735,92.1,descent,elite,Elite biomechanics detected.
SES_SNA_GOO_0005,athlete_59,21,snatch,92.67,95.94,125.21,101.21,51.88,54.99,179.16,171.13,79.16,80.51,27.72,0.97,14.76,5.97,0.6,0,0.832,89,descent,good,Extend hips fully.
SES_CRI_AVE_0018,athlete_29,95,cricket_bat,168.2,148.49,147.36,168.76,133.18,102.03,137.45,180,99.08,75.64,35.37,0.29,27.08,-1.98,0.34,0,0.647,71.0,descent,average,Lower your hips.
SES_SPR_AVE_0010,athlete_03,22,sprint,74.45,72.02,105.01,114.73,114.77,94.41,91.4,100.99,89.32,68.74,40.13,2.04,26.18,-1.86,0.53,0,0.765,66.4,descent,average,Lower your hips.
SES_JAV_AVE_0014,athlete_35,3,javelin,111.9,122.38,178,158.92,149.85,149.08,156.86,155.9,76.62,76.01,35.65,1.28,24.24,0.47,0.49,0,0.622,67.2,descent,average,Lower your hips.
SES_JAV_AVE_0014,athlete_38,28,javelin,116.91,129.0,159.57,158.06,169.45,160.83,155.1,143.54,62.69,78.37,48.68,3.68,33.9,6.82,0.54,0,0.649,70.0,setup,average,Control trunk lean.
SES_SNA_POO_0007,athlete_21,26,snatch,97.6,138.41,156.56,158.43,90.8,87.93,166.09,128.97,106.68,77.4,75.17,1.48,12.11,5.27,0.43,0,0.628,48.4,setup,poor,Adjust knee alignment.
SES_VER_GOO_0001,athlete_31,47,vertical_jump,98.84,91.15,101.82,113.06,76.09,66.46,142.77,152.03,78.84,81.15,9.54,6.32,33.89,-3.03,0.48,62.9,0.827,82.0,setup,good,Extend hips fully.
SES_VER_GOO_0001,athlete_09,90,vertical_jump,86.89,109.68,110.83,109.03,44.41,67.82,106.25,128.29,84.64,83.23,11.31,2.1,20.92,-0.15,0.52,45.6,0.813,82.6,landing,good,Extend hips fully.
SES_CRI_POO_0019,athlete_09,8,cricket_bat,167.5,140.25,142.38,152.44,139.88,114.25,163.43,180,85.87,68.65,22.16,4.41,15.04,2.92,0.57,0,0.551,35.3,setup,poor,Work on symmetry.
SES_VER_ELI_0000,athlete_27,88,vertical_jump,88.13,89.84,83.04,80.81,70.85,62.9,96.3,117.09,82.94,85.82,12.75,0.55,37.59,-0.01,0.45,52.5,0.946,92.6,descent,elite,Elite biomechanics detected.
SES_VER_ELI_0000,athlete_52,95,vertical_jump,95.55,90.25,97.09,102.24,59.54,53.52,130.9,118.86,86.95,88.69,16.45,0.3,29.83,1.79,0.57,59.0,0.928,98.7,takeoff,elite,Great form! Maintain position.
SES_JAV_AVE_0014,athlete_12,94,javelin,175,105.11,167.92,171.57,144.92,161.83,162.92,143.08,65.14,81.13,28.17,2.98,22.99,-0.27,0.45,0,0.554,69.4,setup,average,Control trunk lean.
